Nama Folder,Nama File,Link
Ujiyasu Hōjō,Hojo_Short_Animation_Better_Compressed.mp4,https://drive.google.com/file/d/1J9IURwn26WsuEfyS1fI9znCMyEj0e6bP/view?usp=drivesdk
Ujiyasu Hōjō,Hojo_Short_Animation.mp4,https://drive.google.com/file/d/1XPA7ETWXpL8yE_Xi5KQnzEdf903GHIft/view?usp=drivesdk
Socrates,MR_Socrates.mp4,https://drive.google.com/file/d/1kzRarNHpKMAXj83RFpRl0mQsz3xeHLBT/view?usp=drivesdk
Socrates,UR_Socrates.mp4,https://drive.google.com/file/d/1Ne0M3ltTPjUfQbAq4ZRxmWaI29tRXABx/view?usp=drivesdk
Shibata Katsuie,Katsuie_Extended_Animation.mov,https://drive.google.com/file/d/1o0eu98eC3azKwisg9tQ_HWcAxVRodJ4U/view?usp=drivesdk
Schrodinger,RPReplay_Final1712155502.mov,https://drive.google.com/file/d/19KVsXtzb3ovplLKdW500HdphIMY8crrw/view?usp=drivesdk
Richard,Richard_UR_Extended_Animation.mp4,https://drive.google.com/file/d/1WhVrpDvZ6gPj1VToibRJyOYZ0_o_Lft4/view?usp=drivesdk
Reginleif,Reginleif_UR_Animation_Short.mp4,https://drive.google.com/file/d/131R1YR9xyGyzW85cbAkCr8s3a2O2t4FG/view?usp=drivesdk
Set,UR_Set_Animation_Short.mp4,https://drive.google.com/file/d/1Jc-_1WEKWByWmRhXi_F6wjhxv5XySdO6/view?usp=drivesdk
Romulus,UR_Romulus_Animation_Short.mp4,https://drive.google.com/file/d/1zZRqqQZMXHdNqUbnLumgE5l7-NvXOjCx/view?usp=drivesdk
Robin Hood,MR_Robin_Hood.mp4,https://drive.google.com/file/d/1P2AMgbGSTpNbRh7aAgZqMRgTTueMywzp/view?usp=drivesdk
Robin Hood,RPReplay_Final1722306599.mov,https://drive.google.com/file/d/1v5HApiUt8meKwgX3tcxvZUHd6brexewA/view?usp=drivesdk
Robin Hood,UR_Robin_Hood_Animation_Short.mp4,https://drive.google.com/file/d/1ilKn2HtCEgZZD3nb6RrzGw2xikgGSHnG/view?usp=drivesdk
Sima Yi,Sima_UR_Short.mp4,https://drive.google.com/file/d/13QVupE5o4M3NxVkqZz2Zz_jcVqvIoIe0/view?usp=drivesdk
Siegfried,Siegfried_Short_Animation.mp4,https://drive.google.com/file/d/1KqIWLo6tgtXoZ4x4dt9dUD6hdBcODJh_/view?usp=drivesdk
Ramses,Ramses_UR_Animation_Short.mp4,https://drive.google.com/file/d/1QL92PLdb_0BUceszFqIJ8JeBvPIVs2r9/view?usp=drivesdk
Nero,Nero_Animation_Short.mp4,https://drive.google.com/file/d/1cFjlFk9gvT9oJvYXTikmdDMpd8ixeBxN/view?usp=drivesdk
Oichi,Oichi_Animation_Compressed.mp4,https://drive.google.com/file/d/1dRP2YgAgEfCOS78El23pZF_aRiANCA7B/view?usp=drivesdk
Octavius Augustus,OctaviusWedding.mp4,https://drive.google.com/file/d/1NSmsnSdu9m_6E9a0XY9vq49e5Emr0EPA/view?usp=drivesdk
Octavius Augustus,MR_Octavius.mp4,https://drive.google.com/file/d/1UE4oegxHQvKvta6hKXZwX95sUkZBU-18/view?usp=drivesdk
Octavius Augustus,Octavius_UR_Extended_Animation_Compressed.mp4,https://drive.google.com/file/d/17n2Shi8C12YDBx0NlKardu1IXIG0K7F6/view?usp=drivesdk
Prometheus,Prometheus_Animation_Short.mp4,https://drive.google.com/file/d/11mbm2tuZgGb9WyH0i3bH0lEqTcPdpiPq/view?usp=drivesdk
Pandora,UR_Pandora_Animation_Short.mp4,https://drive.google.com/file/d/14ZWxAEx0rGSlK9UpBHBP_XcIa1EZAVLt/view?usp=drivesdk
Nagahide Niwa,UR_Niwa_Animation_Short.mp4,https://drive.google.com/file/d/1aAjBKANYI17v8PR0_6CWOy4R3v68BmOb/view?usp=drivesdk
Mochizuki Chiyome,Sports_Chiyo_Animation_Short.mp4,https://drive.google.com/file/d/1WzQnEER3Cf-1rbohgTR5JTJfQnBE3roa/view?usp=drivesdk
Mochizuki Chiyome,Chiyo_UR_Animation_.mp4,https://drive.google.com/file/d/1vkpb2e_vE1NvVeKR_f3FMiky1fe42yak/view?usp=drivesdk
Mordred,58ab3691f28f50034ebd27753e58c004.mov,https://drive.google.com/file/d/1rSpsehJJQEd31-DfDBLK8hZBbQbBMaLC/view?usp=drivesdk
Plato,Plato_UR_Animation.mp4,https://drive.google.com/file/d/1v67-cuHx8BoojrVrGWemh77kWrYv8jy5/view?usp=drivesdk
Poseidon,Poseidon_Short_Animation_Compressed.mp4,https://drive.google.com/file/d/1pPx3r6L0Z2zUF0hKLqOjT9wRF5-_C3Nd/view?usp=drivesdk
